city,country,province,Continent
Kuujjuaq,Canada,Québec,North America
Sydney,Canada,Nova Scotia,North America
Labrador City,Canada,Newfoundland and Labrador,North America
Winnipeg,Canada,Manitoba,North America
Churchill,Canada,Manitoba,North America
Regina,Canada,Saskatchewan,North America
Saskatoon,Canada,Saskatchewan,North America
Calgary,Canada,Alberta,North America
Prince Rupert,Canada,British Columbia,North America
Victoria,Canada,British Columbia,North America
Arctic Bay,Canada,Nunavut,North America
Resolute,Canada,Nunavut,North America
Repulse Bay,Canada,Nunavut,North America
Yellowknife,Canada,Northwest Territories,North America
Fort Good Hope,Canada,Northwest Territories,North America
Whitehorse,Canada,Yukon,North America
Ottawa,Canada,Ontario,North America
Fort Severn,Canada,Ontario,North America
Thunder Bay,Canada,Ontario,North America
Québec,Canada,Québec,North America
Halifax,Canada,Nova Scotia,North America
St. John’s,Canada,Newfoundland and Labrador,North America
Nain,Canada,Newfoundland and Labrador,North America
Charlottetown,Canada,Prince Edward Island,North America
Edmonton,Canada,Alberta,North America
Montréal,Canada,Québec,North America
Vancouver,Canada,British Columbia,North America
Toronto,Canada,Ontario,North America
Mindelo,Cape Verde,,Africa
Praia,Cape Verde,,Africa
George Town,Cayman Islands,,Africa
Mobaye,Central African Republic,Basse-Kotto,Africa
Mbaiki,Central African Republic,Lobaye,Africa
Carnot,Central African Republic,Mambéré-Kadéï,Africa
Bozoum,Central African Republic,Ouham-Pendé,Africa
Kaga Bandoro,Central African Republic,Nana-Grébizi,Africa
Zemio,Central African Republic,Haut-Mbomou,Africa
Yakossi,Central African Republic,Mbomou,Africa
Nola,Central African Republic,Sangha-Mbaéré,Africa
Sibut,Central African Republic,Kémo,Africa
Bossangoa,Central African Republic,Ouham,Africa
Birao,Central African Republic,Vakaga,Africa
Ouadda,Central African Republic,Haute-Kotto,Africa
Bangassou,Central African Republic,Mbomou,Africa
Bossembele,Central African Republic,Bangui,Africa
Berberati,Central African Republic,Mambéré-Kadéï,Africa
Bria,Central African Republic,Haute-Kotto,Africa
Bouar,Central African Republic,Nana-Mambéré,Africa
Bambari,Central African Republic,Ouaka,Africa
Ndele,Central African Republic,Bamingui-Bangoran,Africa
Obo,Central African Republic,Haut-Mbomou,Africa
Bangui,Central African Republic,Bangui,Africa
Lai,Chad,Tandjilé,Africa
Zouar,Chad,Bet,Africa
Bol,Chad,Lac,Africa
Ati,Chad,Batha,Africa
Oum Hadjer,Chad,Batha,Africa
Mongo,Chad,Guéra,Africa
Doba,Chad,Logone Oriental,Africa
Pala,Chad,Mayo-Kebbi Est,Africa
Bongor,Chad,Mayo-Kebbi Est,Africa
Kelo,Chad,Tandjilé,Africa
Fada,Chad,Bet,Africa
Faya Largeau,Chad,Bet,Africa
Mao,Chad,Kanem,Africa
Biltine,Chad,Wadi Fira,Africa
Sarh,Chad,Mandoul,Africa
Am Timan,Chad,Salamat,Africa
Moundou,Chad,Logone Oriental,Africa
Ndjamena,Chad,Hadjer-Lamis,Africa
Abeche,Chad,Ouaddaï,Africa
Rio Verde,Chile,Magallanes y Antártica Chilena,South America
Cuya,Chile,Tarapacá,South America
Chuquicamata,Chile,Antofagasta,South America
Maria Elena,Chile,Antofagasta,South America
Tierra Amarilla,Chile,Atacama,South America
Combarbala,Chile,Coquimbo,South America
San Bernardo,Chile,Región Metropolitana de Santiago,South America
San Felipe,Chile,Valparaíso,South America
Vina del Mar,Chile,Valparaíso,South America
La Ligua,Chile,Valparaíso,South America
Quillota,Chile,Valparaíso,South America
Nueva Imperial,Chile,La Araucanía,South America
Loncoche,Chile,La Araucanía,South America
Villarica,Chile,La Araucanía,South America
Tolten,Chile,La Araucanía,South America
Lonquimay,Chile,La Araucanía,South America
Angol,Chile,La Araucanía,South America
Collipulli,Chile,La Araucanía,South America
La Union,Chile,Los Ríos,South America
Rio Bueno,Chile,Los Ríos,South America
Coronel,Chile,Bío-Bío,South America
Talcahuano,Chile,Bío-Bío,South America
Quirihue,Chile,Bío-Bío,South America
Curanilahue,Chile,Bío-Bío,South America
Santa Barbara,Chile,Bío-Bío,South America
Pichilemu,Chile,Libertador General Bernardo O'Higgins,South America
San Fernando,Chile,Libertador General Bernardo O'Higgins,South America
Puerto Varas,Chile,Los Lagos,South America
Calbuco,Chile,Los Lagos,South America
Castro,Chile,Los Lagos,South America
Chonchi,Chile,Los Lagos,South America
Linares,Chile,Maule,South America
Cauquenes,Chile,Maule,South America
Cochrane,Chile,Aisén del General Carlos Ibáñez del Campo,South America
Lagunas,Chile,Tarapacá,South America
Pozo Almonte,Chile,Tarapacá,South America
Toconao,Chile,Antofagasta,South America
Huasco,Chile,Atacama,South America
Diego de Almagro,Chile,Atacama,South America
Caldera,Chile,Atacama,South America
Coquimbo,Chile,Coquimbo,South America
Vicuna,Chile,Coquimbo,South America
Illapel,Chile,Coquimbo,South America
Salamanca,Chile,Coquimbo,South America
Los Andes,Chile,Valparaíso,South America
San Antonio,Chile,Valparaíso,South America
Victoria,Chile,La Araucanía,South America
Carahue,Chile,La Araucanía,South America
Los Lagos,Chile,Los Ríos,South America
Lota,Chile,Bío-Bío,South America
Lebu,Chile,Bío-Bío,South America
Quellon,Chile,Los Lagos,South America
Constitucion,Chile,Maule,South America
Villa O'Higgins,Chile,Santa Cruz,South America
Puerto Aisen,Chile,Aisén del General Carlos Ibáñez del Campo,South America
Puerto Natales,Chile,Magallanes y Antártica Chilena,South America
Puerto Williams,Chile,Magallanes y Antártica Chilena,South America
Temuco,Chile,La Araucanía,South America
Tocopilla,Chile,Antofagasta,South America
Calama,Chile,Antofagasta,South America
Mejillones,Chile,Antofagasta,South America
Taltal,Chile,Antofagasta,South America
Vallenar,Chile,Atacama,South America
Chanaral,Chile,Atacama,South America
Ovalle,Chile,Coquimbo,South America
Chillan,Chile,Bío-Bío,South America
Rancagua,Chile,Libertador General Bernardo O'Higgins,South America
Osorno,Chile,Los Lagos,South America
Ancud,Chile,Los Lagos,South America
Talca,Chile,Maule,South America
Curico,Chile,Maule,South America
Coihaique,Chile,Aisén del General Carlos Ibáñez del Campo,South America
Arica,Chile,Arica y Parinacota,South America
Copiapo,Chile,Atacama,South America
La Serena,Chile,Coquimbo,South America
Los Angeles,Chile,Bío-Bío,South America
Punta Arenas,Chile,Magallanes y Antártica Chilena,South America
Iquique,Chile,Tarapacá,South America
Antofagasta,Chile,Antofagasta,South America
Valparaiso,Chile,Valparaíso,South America
Valdivia,Chile,Los Ríos,South America
Concepcion,Chile,Bío-Bío,South America
Puerto Montt,Chile,Los Lagos,South America
Santiago,Chile,Región Metropolitana de Santiago,South America
Yumen,China,Gansu,Asia
Linxia,China,Gansu,Asia
Zhuozhou,China,Beijing,Asia
Sanming,China,Fujian,Asia
Huizhou,China,Guangdong,Asia
Chaozhou,China,Guangdong,Asia
Gyangze,China,Xizang,Asia
Dali,China,Shaanxi,Asia
Yangquan,China,Shanxi,Asia
Shiyan,China,Hubei,Asia
Danjiangkou,China,Hubei,Asia
Shashi,China,Hubei,Asia
Anlu,China,Hubei,Asia
Zixing,China,Hunan,Asia
Deyang,China,Sichuan,Asia
Tengchong,China,Yunnan,Asia
Mengzi,China,Yunnan,Asia
Chuxiong,China,Yunnan,Asia
Hengshui,China,Hebei,Asia
Xuanhua,China,Hebei,Asia
Luohe,China,Henan,Asia
Beipiao,China,Liaoning,Asia
Wafangdian,China,Liaoning,Asia
Zhucheng,China,Shandong,Asia
Hangu,China,Tianjin,Asia
Xinyi,China,Jiangsu,Asia
Yangzhou,China,Jiangsu,Asia
Linhai,China,Zhejiang,Asia
Huangyan,China,Zhejiang,Asia
Daan,China,Jilin,Asia
Changling,China,Jilin,Asia
Tonghua,China,Jilin,Asia
Baishan,China,Jilin,Asia
Yanji,China,Jilin,Asia
Ergun Zuoqi,China,Nei Mongol,Asia
Shangdu,China,Nei Mongol,Asia
Orongen Zizhiqi,China,Nei Mongol,Asia
Zalantun,China,Nei Mongol,Asia
Wuchuan,China,Nei Mongol,Asia
Hanggin Houqi,China,Nei Mongol,Asia
Anda,China,Heilongjiang,Asia
Qinggang,China,Heilongjiang,Asia
Angangxi,China,Heilongjiang,Asia
Hulan Ergi,China,Heilongjiang,Asia
Qingan,China,Heilongjiang,Asia
Baiquan,China,Heilongjiang,Asia
Suileng,China,Heilongjiang,Asia
Linkou,China,Heilongjiang,Asia
Longxi,China,Gansu,Asia
Pingliang,China,Gansu,Asia
Anxi,China,Gansu,Asia
Minxian,China,Gansu,Asia
Jinchang,China,Gansu,Asia
Guide,China,Gansu,Asia
Qinzhou,China,Guangxi,Asia
Pingxiang,China,Guangxi,Asia
Yishan,China,Guangxi,Asia
Beihai,China,Guangxi,Asia
Hechi,China,Guangxi,Asia
Tongren,China,Guizhou,Asia
Fengjie,China,Chongqing,Asia
Changping,China,Beijing,Asia
Shaowu,China,Fujian,Asia
Longyan,China,Fujian,Asia
Zhangzhou,China,Fujian,Asia
Putian,China,Fujian,Asia
Fuan,China,Fujian,Asia
Changting,China,Fujian,Asia
Nanping,China,Fujian,Asia
Ninde,China,Fujian,Asia
Jieshou,China,Anhui,Asia
Tongling,China,Anhui,Asia
Maanshan,China,Anhui,Asia
Fuyang,China,Anhui,Asia
Yangjiang,China,Guangdong,Asia
Meizhou,China,Guangdong,Asia
Heyuan,China,Guangdong,Asia
Qingyuan,China,Guangdong,Asia
Zhaoqing,China,Guangdong,Asia
Lianxian,China,Guangdong,Asia
Jiangmen,China,Guangdong,Asia
Maoming,China,Guangdong,Asia
Gar,China,Xizang,Asia
Turpan,China,Xinjiang Uygur,Asia
Quiemo,China,Xinjiang Uygur,Asia
Koktokay,China,Xinjiang Uygur,Asia
Hancheng,China,Shaanxi,Asia
Weinan,China,Shaanxi,Asia
Shuozhou,China,Shanxi,Asia
Xinzhou,China,Shanxi,Asia
Jincheng,China,Shanxi,Asia
Jiexiu,China,Shanxi,Asia
Changzhi,China,Shanxi,Asia
Guangshui,China,Hubei,Asia
Jingmen,China,Hubei,Asia
Zicheng,China,Hubei,Asia
Shishou,China,Hubei,Asia
Xiaogan,China,Hubei,Asia
Puqi,China,Hubei,Asia
Yunxian,China,Hubei,Asia
Jinshi,China,Hunan,Asia
Chenzhou,China,Hunan,Asia
Zhijiang,China,Hunan,Asia
Xiangtan,China,Hunan,Asia
Zigong,China,Sichuan,Asia
Yaan,China,Sichuan,Asia
Langzhong,China,Sichuan,Asia
Rongzhag,China,Sichuan,Asia
Simao,China,Yunnan,Asia
Wenshan,China,Yunnan,Asia
Zhanyi,China,Yunnan,Asia
Huize,China,Yunnan,Asia
Chengde,China,Hebei,Asia
Cangzhou,China,Hebei,Asia
Baoding,China,Hebei,Asia
Huanghua,China,Hebei,Asia
Dingzhou,China,Hebei,Asia
Nangong,China,Hebei,Asia
Linqing,China,Hebei,Asia
Xiangtai,China,Hebei,Asia
Puyang,China,Henan,Asia
Hebi,China,Henan,Asia
Xuchang,China,Henan,Asia
Zhoukou,China,Henan,Asia
Dengzhou,China,Henan,Asia
Tieling,China,Liaoning,Asia
Chaoyang,China,Liaoning,Asia
Huanren,China,Liaoning,Asia
Zhuanghe,China,Liaoning,Asia
Yishui,China,Shandong,Asia
Shanxian,China,Shandong,Asia
Pingyi,China,Shandong,Asia
Pingdu,China,Shandong,Asia
Laiwu,China,Shandong,Asia
Buizhou,China,Shandong,Asia
Liaocheng,China,Shandong,Asia
Rizhao,China,Shandong,Asia
Dezhou,China,Shandong,Asia
Linchuan,China,Jiangxi,Asia
Fengcheng,China,Jiangxi,Asia
Jian,China,Jiangxi,Asia
Shangrao,China,Jiangxi,Asia
Jingdezhen,China,Jiangxi,Asia
Taizhou,China,Jiangsu,Asia
Shuyang,China,Jiangsu,Asia
Lianyungang,China,Jiangsu,Asia
Lishui,China,Zhejiang,Asia
Jiaojing,China,Zhejiang,Asia
Quzhou,China,Zhejiang,Asia
Fuyu,China,Jilin,Asia
Dunhua,China,Jilin,Asia
Nongan,China,Jilin,Asia
Taonan,China,Jilin,Asia
Liuhe,China,Jilin,Asia
Huinan,China,Jilin,Asia
Panshi,China,Jilin,Asia
Jiaohe,China,Jilin,Asia
Linjiang,China,Jilin,Asia
Wangqing,China,Jilin,Asia
Helong,China,Jilin,Asia
Shulan,China,Jilin,Asia
Jiutai,China,Jilin,Asia
Alxa Zuoqi,China,Nei Mongol,Asia
Linxi,China,Nei Mongol,Asia
Kailu,China,Nei Mongol,Asia
Bairin Zuoqi,China,Nei Mongol,Asia
Yitulihe,China,Nei Mongol,Asia
Yakeshi,China,Nei Mongol,Asia
Bugt,China,Nei Mongol,Asia
Wuyuan,China,Nei Mongol,Asia
Bayan Obo,China,Nei Mongol,Asia
Fengzhen,China,Nei Mongol,Asia
Suihua,China,Heilongjiang,Asia
Shuangyashan,China,Heilongjiang,Asia
Shangzhi,China,Heilongjiang,Asia
Fujin,China,Heilongjiang,Asia
Yian,China,Heilongjiang,Asia
Tailai,China,Heilongjiang,Asia
Longjiang,China,Heilongjiang,Asia
Gannan,China,Heilongjiang,Asia
Hailun,China,Heilongjiang,Asia
Mishan,China,Heilongjiang,Asia
Tieli,China,Heilongjiang,Asia
Shuangcheng,China,Heilongjiang,Asia
Zhaodong,China,Heilongjiang,Asia
Lanxi,China,Heilongjiang,Asia
Keshan,China,Heilongjiang,Asia
Nancha,China,Heilongjiang,Asia
Xinqing,China,Heilongjiang,Asia
Hulin,China,Heilongjiang,Asia
Boli,China,Heilongjiang,Asia
Ningan,China,Heilongjiang,Asia
Jyekundo,China,Gansu,Asia
Liuzhou,China,Guangxi,Asia
Xingyi,China,Guizhou,Asia
Anshun,China,Guizhou,Asia
Zunyi,China,Guizhou,Asia
Wanzhou,China,Chongqing,Asia
Huaibei,China,Anhui,Asia
Wuhu,China,Anhui,Asia
Luan,China,Anhui,Asia
Bengbu,China,Anhui,Asia
Anqing,China,Anhui,Asia
Foshan,China,Guangdong,Asia
Nagchu,China,Xizang,Asia
Nyingchi,China,Xizang,Asia
Chamdo,China,Xizang,Asia
Korla,China,Xinjiang Uygur,Asia
Kuqa,China,Xinjiang Uygur,Asia
Tacheng,China,Xinjiang Uygur,Asia
Shihezi,China,Xinjiang Uygur,Asia
Karamay,China,Xinjiang Uygur,Asia
Aksu,China,Xinjiang Uygur,Asia
Sanya,China,Hainan,Asia
Haikou,China,Hainan,Asia
Hanzhong,China,Shaanxi,Asia
Baoji,China,Shaanxi,Asia
Tongchuan,China,Shaanxi,Asia
Linfen,China,Shanxi,Asia
Yuci,China,Shanxi,Asia
Datong,China,Shanxi,Asia
Jianmen,China,Hubei,Asia
Yichang,China,Hubei,Asia
Xiantao,China,Hubei,Asia
Macheng,China,Hubei,Asia
Huangshi,China,Hubei,Asia
Zhuzhou,China,Hunan,Asia
Yongzhou,China,Hunan,Asia
Yiyang,China,Hunan,Asia
Changde,China,Hunan,Asia
Shaoyang,China,Hunan,Asia
Leshan,China,Sichuan,Asia
Panzhihua,China,Sichuan,Asia
Fulin,China,Sichuan,Asia
Guangyuan,China,Sichuan,Asia
Luzhou,China,Sichuan,Asia
Yibin,China,Sichuan,Asia
Zhaotang,China,Yunnan,Asia
Lijiang,China,Yunnan,Asia
Yuxi,China,Yunnan,Asia
Dali,China,Yunnan,Asia
Qinhuangdao,China,Hebei,Asia
Langfang,China,Hebei,Asia
Zhangjiakou,China,Hebei,Asia
Tangshan,China,Hebei,Asia
Anyang,China,Henan,Asia
Jiaozuo,China,Henan,Asia
Kaifeng,China,Henan,Asia
Shangqiu,China,Henan,Asia
Pingdingshan,China,Henan,Asia
Xinyang,China,Henan,Asia
Xinxiang,China,Henan,Asia
Luoyang,China,Henan,Asia
Liaoyang,China,Liaoning,Asia
Dandong,China,Liaoning,Asia
Yingkow,China,Liaoning,Asia
Jinzhou,China,Liaoning,Asia
Fuxin,China,Liaoning,Asia
Benxi,China,Liaoning,Asia
Fushun,China,Liaoning,Asia
Jining,China,Shandong,Asia
Weifang,China,Shandong,Asia
Taian,China,Shandong,Asia
Heze,China,Shandong,Asia
Laiyang,China,Shandong,Asia
Xinyu,China,Jiangxi,Asia
Ganzhou,China,Jiangxi,Asia
Jiujiang,China,Jiangxi,Asia
Changzhou,China,Jiangsu,Asia
Zhenjiang,China,Jiangsu,Asia
Nantong,China,Jiangsu,Asia
Jiaxing,China,Zhejiang,Asia
Huzhou,China,Zhejiang,Asia
Shaoxing,China,Zhejiang,Asia
Jinhua,China,Zhejiang,Asia
Liaoyuan,China,Jilin,Asia
Tumen,China,Jilin,Asia
Siping,China,Jilin,Asia
Baicheng,China,Jilin,Asia
Wuhai,China,Nei Mongol,Asia
Erenhot,China,Nei Mongol,Asia
Jining,China,Nei Mongol,Asia
Arxan,China,Nei Mongol,Asia
Manzhouli,China,Nei Mongol,Asia
Xilinhot,China,Nei Mongol,Asia
Heihe,China,Heilongjiang,Asia
Qitaihe,China,Heilongjiang,Asia
Yichun,China,Heilongjiang,Asia
Hegang,China,Heilongjiang,Asia
Nenjiang,China,Heilongjiang,Asia
Nehe,China,Heilongjiang,Asia
Mudangiang,China,Heilongjiang,Asia
Xuanzhou,China,Anhui,Asia
Zhuhai,China,Guangdong,Asia
Xianyang,China,Shaanxi,Asia
Xiangfan,China,Hubei,Asia
Suining,China,Sichuan,Asia
Lingyuan,China,Liaoning,Asia
Weihai,China,Shandong,Asia
Yichun,China,Jiangxi,Asia
Yancheng,China,Jiangsu,Asia
Fuyang,China,Zhejiang,Asia
Xiamen,China,Fujian,Asia
Nanchong,China,Sichuan,Asia
Neijiang,China,Sichuan,Asia
Nanyang,China,Henan,Asia
Jinxi,China,Liaoning,Asia
Yantai,China,Shandong,Asia
Zaozhuang,China,Shandong,Asia
Suzhou,China,Jiangsu,Asia
Xuzhou,China,Jiangsu,Asia
Wuxi,China,Jiangsu,Asia
Jilin,China,Jilin,Asia
Zhangye,China,Gansu,Asia
Wuwei,China,Gansu,Asia
Dunhuang,China,Gansu,Asia
Tianshui,China,Gansu,Asia
Dulan,China,Gansu,Asia
Golmud,China,Gansu,Asia
Yulin,China,Guangxi,Asia
Bose,China,Guangxi,Asia
Wuzhou,China,Guangxi,Asia
Lupanshui,China,Guizhou,Asia
Quanzhou,China,Fujian,Asia
Hefei,China,Anhui,Asia
Suzhou,China,Anhui,Asia
Zhanjiang,China,Guangdong,Asia
Shaoguan,China,Guangdong,Asia
Xigaze,China,Xizang,Asia
Shache,China,Xinjiang Uygur,Asia
Yining,China,Xinjiang Uygur,Asia
Altay,China,Xinjiang Uygur,Asia
Shizuishan,China,Ningxia Hui,Asia
Yulin,China,Shaanxi,Asia
Ankang,China,Shaanxi,Asia
Houma,China,Shanxi,Asia
Yueyang,China,Hunan,Asia
Hengyang,China,Hunan,Asia
Mianyang,China,Sichuan,Asia
Xichang,China,Sichuan,Asia
Baoshan,China,Yunnan,Asia
Gejiu,China,Yunnan,Asia
Shijianzhuang,China,Hebei,Asia
Handan,China,Hebei,Asia
Anshan,China,Liaoning,Asia
Dalian,China,Liaoning,Asia
Qingdao,China,Shandong,Asia
Linyi,China,Shandong,Asia
Huaiyin,China,Jiangsu,Asia
Wenzhou,China,Zhejiang,Asia
Ningbo,China,Zhejiang,Asia
Tongliao,China,Nei Mongol,Asia
Hohhot,China,Nei Mongol,Asia
Chifeng,China,Nei Mongol,Asia
Ulanhot,China,Nei Mongol,Asia
Hailar,China,Nei Mongol,Asia
Jiamusi,China,Heilongjiang,Asia
Beian,China,Heilongjiang,Asia
Daqing,China,Heilongjiang,Asia
Jixi,China,Heilongjiang,Asia
Jiayuguan,China,Gansu,Asia
Xining,China,Gansu,Asia
Guilin,China,Guangxi,Asia
Huainan,China,Anhui,Asia
Shantou,China,Guangdong,Asia
Lhasa,China,Xizang,Asia
Hami,China,Xinjiang Uygur,Asia
Hotan,China,Xinjiang Uygur,Asia
Kashgar,China,Xinjiang Uygur,Asia
Yinchuan,China,Ningxia Hui,Asia
Pingxiang,China,Jiangxi,Asia
Qiqihar,China,Heilongjiang,Asia
Shenzhen,China,Guangdong,Asia
Zibo,China,Shandong,Asia
Lanzhou,China,Gansu,Asia
Nanning,China,Guangxi,Asia
Guiyang,China,Guizhou,Asia
Chongqing,China,Chongqing,Asia
Fuzhou,China,Fujian,Asia
Guangzhou,China,Guangdong,Asia
Dongguan,China,Guangdong,Asia
Xian,China,Shaanxi,Asia
Taiyuan,China,Shanxi,Asia
Wuhan,China,Hubei,Asia
Changsha,China,Hunan,Asia
Kunming,China,Yunnan,Asia
Zhengzhou,China,Henan,Asia
Shenyeng,China,Liaoning,Asia
Jinan,China,Shandong,Asia
Tianjin,China,Tianjin,Asia
Nanchang,China,Jiangxi,Asia
Nanjing,China,Jiangsu,Asia
Hangzhou,China,Zhejiang,Asia
Changchun,China,Jilin,Asia
Baotou,China,Nei Mongol,Asia
Harbin,China,Heilongjiang,Asia
Urumqi,China,Xinjiang Uygur,Asia
Chengdu,China,Sichuan,Asia
Beijing,China,Beijing,Asia
Shanghai,China,Shanghai,Asia
Yopal,Colombia,Casanare,South America
San Andres,Colombia,,South America
Sonson,Colombia,Antioquia,South America
Sogamoso,Colombia,Boyacá,South America
Barrancabermeja,Colombia,Santander,South America
Girardot,Colombia,Cundinamarca,South America
Campoalegre,Colombia,Huila,South America
Tuquerres,Colombia,Nariño,South America
Mocoa,Colombia,Putumayo,South America
Cartago,Colombia,Valle del Cauca,South America
Soledad,Colombia,Atlántico,South America
Sabanalarga,Colombia,Atlántico,South America
Arjona,Colombia,Bolívar,South America
Magangue,Colombia,Bolívar,South America
Valledupar,Colombia,Cesar,South America
San Jose del Guaviare,Colombia,Meta,South America
Puerto Lopez,Colombia,Meta,South America
Yarumal,Colombia,Antioquia,South America
Puerto Berrio,Colombia,Antioquia,South America
Turbo,Colombia,Antioquia,South America
Tunja,Colombia,Boyacá,South America
Chiquinquira,Colombia,Boyacá,South America
Duitama,Colombia,Boyacá,South America
Ayapel,Colombia,Córdoba,South America
Lorica,Colombia,Córdoba,South America
Socorro,Colombia,Santander,South America
Riohacha,Colombia,La Guajira,South America
Armenia,Colombia,Quindío,South America
Pereira,Colombia,Risaralda,South America
Honda,Colombia,Tolima,South America
San Vicente del Caguan,Colombia,Caquetá,South America
Florencia,Colombia,Caquetá,South America
Guapi,Colombia,Cauca,South America
Neiva,Colombia,Huila,South America
Garzon,Colombia,Huila,South America
Ipiales,Colombia,Nariño,South America
Buenaventura,Colombia,Valle del Cauca,South America
Tulua,Colombia,Valle del Cauca,South America
El Carmen de Bolivar,Colombia,Bolívar,South America
Jurado,Colombia,Chocó,South America
Nuqui,Colombia,Chocó,South America
Quibdo,Colombia,Chocó,South America
El Banco,Colombia,Magdalena,South America
Cienaga,Colombia,Magdalena,South America
Sincelejo,Colombia,Sucre,South America
Tolu,Colombia,Sucre,South America
Arauca,Colombia,Arauca,South America
Tame,Colombia,Arauca,South America
Pamplona,Colombia,Norte de Santander,South America
Ocana,Colombia,Norte de Santander,South America
Orocue,Colombia,Casanare,South America
Obando,Colombia,Guainía,South America
San Martin,Colombia,Meta,South America
Puerto Carreno,Colombia,Vichada,South America
Bello,Colombia,Antioquia,South America
Monteria,Colombia,Córdoba,South America
Bucaramanga,Colombia,Santander,South America
Ibague,Colombia,Tolima,South America
Popayan,Colombia,Cauca,South America
Santa Marta,Colombia,Magdalena,South America
Cucuta,Colombia,Norte de Santander,South America
Villavicencio,Colombia,Meta,South America
Tumaco,Colombia,Nariño,South America
Manizales,Colombia,Caldas,South America
Pasto,Colombia,Nariño,South America
Barranquilla,Colombia,Atlántico,South America
Cartagena,Colombia,Bolívar,South America
Mitu,Colombia,Vaupés,South America
Leticia,Colombia,Amazonas,South America
Medellin,Colombia,Antioquia,South America
Cali,Colombia,Valle del Cauca,South America
Bogota,Colombia,Bogota,South America
Moroni,Comoros,,
Madingou,Congo (Brazzaville),Bouenza,Africa
Kinkala,Congo (Brazzaville),Pool,Africa
Ewo,Congo (Brazzaville),Cuvette-Ouest,Africa
Impfondo,Congo (Brazzaville),Likouala,Africa
Sembe,Congo (Brazzaville),Sangha,Africa
Moloundou,Congo (Brazzaville),Sangha,Africa
Owando,Congo (Brazzaville),Cuvette,Africa
Makoua,Congo (Brazzaville),Cuvette,Africa
Sibiti,Congo (Brazzaville),Lékoumou,Africa
Mossendjo,Congo (Brazzaville),Niari,Africa
Loubomo,Congo (Brazzaville),Niari,Africa
Gamboma,Congo (Brazzaville),Plateaux,Africa
Djambala,Congo (Brazzaville),Plateaux,Africa
Ouesso,Congo (Brazzaville),Sangha,Africa
Kayes,Congo (Brazzaville),Bouenza,Africa
Pointe-Noire,Congo (Brazzaville),Kouilou,Africa
Brazzaville,Congo (Brazzaville),Pool,Africa
Buluko,Congo (Kinshasa),Nord-Kivu,Africa
Zongo,Congo (Kinshasa),Équateur,Africa
Libenge,Congo (Kinshasa),Équateur,Africa
Bongandanga,Congo (Kinshasa),Équateur,Africa
Ikela,Congo (Kinshasa),Équateur,Africa
Binga,Congo (Kinshasa),Équateur,Africa
Basankusu,Congo (Kinshasa),Équateur,Africa
Boende,Congo (Kinshasa),Équateur,Africa
Gbadolite,Congo (Kinshasa),Équateur,Africa
Businga,Congo (Kinshasa),Équateur,Africa
Bosobolo,Congo (Kinshasa),Équateur,Africa
Yangambi,Congo (Kinshasa),Orientale,Africa
Aketi,Congo (Kinshasa),Orientale,Africa
Mongbwalu,Congo (Kinshasa),Orientale,Africa
Bafwasende,Congo (Kinshasa),Orientale,Africa
Bunia,Congo (Kinshasa),Orientale,Africa
Wamba,Congo (Kinshasa),Orientale,Africa
Basoko,Congo (Kinshasa),Orientale,Africa
Kenge,Congo (Kinshasa),Bandundu,Africa
Bolobo,Congo (Kinshasa),Bandundu,Africa
Kahemba,Congo (Kinshasa),Bandundu,Africa
Bulungu,Congo (Kinshasa),Bandundu,Africa
Lusanga,Congo (Kinshasa),Bandundu,Africa
Mangai,Congo (Kinshasa),Bandundu,Africa
Kasongo-Lunda,Congo (Kinshasa),Bandundu,Africa
Mushie,Congo (Kinshasa),Bandundu,Africa
Dibaya,Congo (Kinshasa),Kasaï-Occidental,Africa
Mweka,Congo (Kinshasa),Kasaï-Occidental,Africa
Luebo,Congo (Kinshasa),Kasaï-Occidental,Africa
Demba,Congo (Kinshasa),Kasaï-Occidental,Africa
Ilebo,Congo (Kinshasa),Kasaï-Occidental,Africa
Moanda,Congo (Kinshasa),Bas-Congo,Africa
Kimpese,Congo (Kinshasa),Bas-Congo,Africa
Kasangulu,Congo (Kinshasa),Bas-Congo,Africa
Mbanza-Ngungu,Congo (Kinshasa),Bas-Congo,Africa
Tshela,Congo (Kinshasa),Bas-Congo,Africa
Mwenga,Congo (Kinshasa),Sud-Kivu,Africa
Kampene,Congo (Kinshasa),Maniema,Africa
Kalima,Congo (Kinshasa),Maniema,Africa
Lubutu,Congo (Kinshasa),Maniema,Africa
Kabinda,Congo (Kinshasa),Kasaï-Oriental,Africa
Lubao,Congo (Kinshasa),Kasaï-Oriental,Africa
Lusambo,Congo (Kinshasa),Kasaï-Oriental,Africa
Gandajika,Congo (Kinshasa),Kasaï-Oriental,Africa
Lodja,Congo (Kinshasa),Kasaï-Oriental,Africa
Dilolo,Congo (Kinshasa),Katanga,Africa
Nyunzu,Congo (Kinshasa),Katanga,Africa
Kasaji,Congo (Kinshasa),Katanga,Africa
Luanza,Congo (Kinshasa),Katanga,Africa
Moba,Congo (Kinshasa),Katanga,Africa
Bukama,Congo (Kinshasa),Katanga,Africa
Kaniama,Congo (Kinshasa),Katanga,Africa
Kipushi,Congo (Kinshasa),Katanga,Africa
Kambove,Congo (Kinshasa),Katanga,Africa
Kongolo,Congo (Kinshasa),Katanga,Africa
Kabalo,Congo (Kinshasa),Katanga,Africa
